Rk;G;Date;Age;Tm;Home_Away;Opp;Win_Loss;GS;MP;FG;FGA;FGpct;3P;3PA;3Ppct;FT;FTA;FTpct;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;plus_moins
56;56;27/02/2002;23-188;LAL;@;MIN;L (-11);1;42:00:00;8;25;.320;0;0;;4;4;1.000;1;4;5;11;0;0;2;4;20;11.7;10
57;57;01/03/2002;23-190;LAL;;IND;W (+12);1;37:00:00;8;17;.471;0;1;.000;9;12;.750;0;3;3;3;1;1;5;2;25;14.0;-12
58;58;06/03/2002;23-195;LAL;@;UTA;L (-8);1;39:00:00;7;19;.368;1;3;.333;11;12;.917;3;2;5;4;2;0;5;3;26;16.4;12
59;59;10/03/2002;23-199;LAL;;NYK;W (+14);1;44:00:00;7;14;.500;0;2;.000;4;4;1.000;0;2;2;7;0;1;1;5;18;14.2;21
60;60;12/03/2002;23-201;LAL;;CHH;W (+41);1;31:00:00;8;17;.471;0;1;.000;7;10;.700;1;6;7;4;4;0;1;1;23;21.0;4
61;61;14/03/2002;23-203;LAL;@;GSW;W (+8);1;39:00:00;7;14;.500;0;0;;7;8;.875;3;4;7;6;0;1;3;4;21;17.2;5
62;62;15/03/2002;23-204;LAL;;LAC;W (+6);1;38:00:00;12;26;.462;2;2;1.000;7;10;.700;0;3;3;2;3;0;1;3;33;21.5;10
63;63;17/03/2002;23-206;LAL;;DAL;W (+2);1;41:00:00;5;14;.357;1;1;1.000;3;3;1.000;0;9;9;11;1;0;1;1;14;16.2;-19
64;64;19/03/2002;23-208;LAL;@;DAL;L (-16);1;35:00:00;4;18;.222;0;2;.000;4;7;.571;0;8;8;3;0;0;1;5;12;1.3;-18
65;65;20/03/2002;23-209;LAL;@;SAS;L (-18);1;28:00:00;9;16;.563;0;0;;2;4;.500;1;0;1;0;0;0;7;3;20;4.1;3
66;66;22/03/2002;23-211;LAL;;DET;W (+12);1;36:00:00;8;17;.471;0;0;;2;2;1.000;2;5;7;7;4;0;2;4;18;17.5;-10
67;67;24/03/2002;23-213;LAL;@;SAC;W (+1);1;38:00:00;12;21;.571;0;1;.000;5;8;.625;0;4;4;4;2;0;5;3;29;17.7;10
68;68;26/03/2002;23-215;LAL;;CLE;W (+5);1;31:00:00;7;10;.700;1;2;.500;2;3;.667;2;5;7;3;0;0;0;2;17;16.6;-3
69;69;27/03/2002;23-216;LAL;@;PHO;L (-12);1;41:00:00;9;20;.450;0;1;.000;18;20;.900;3;1;4;3;0;0;5;1;36;23.9;24
70;70;29/03/2002;23-218;LAL;;POR;W (+12);1;41:00:00;12;26;.462;0;1;.000;10;11;.909;0;7;7;6;2;0;0;3;34;27.3;0
71;71;31/03/2002;23-220;LAL;;SAS;W (+1);1;47:00:00;11;24;.458;0;0;;9;9;1.000;2;7;9;3;1;1;6;4;31;18.3;25
72;72;02/04/2002;23-222;LAL;@;WAS;W (+20);1;33:00:00;6;13;.462;0;0;;2;2;1.000;0;2;2;6;1;0;4;3;14;7.9;0
73;73;03/04/2002;23-223;LAL;@;NJN;L (-2);1;44:00:00;14;30;.467;0;1;.000;5;5;1.000;2;2;4;3;1;0;3;1;33;19.3;-13
74;74;05/04/2002;23-225;LAL;@;BOS;L (-18);1;38:00:00;5;25;.200;0;2;.000;16;18;.889;0;6;6;2;1;1;2;4;26;11.0;2
75;75;07/04/2002;23-227;LAL;@;MIA;W (+8);1;38:00:00;8;12;.667;0;0;;3;3;1.000;2;9;11;4;0;0;2;2;19;17.9;27
76;76;09/04/2002;23-229;LAL;;UTA;W (+30);1;34:00:00;8;16;.500;0;0;;6;7;.857;0;4;4;5;1;2;4;3;22;15.5;16
77;77;11/04/2002;23-231;LAL;;MIN;W (+13);1;38:00:00;9;20;.450;0;1;.000;10;10;1.000;1;2;3;2;0;0;2;5;28;16.3;-4
78;78;14/04/2002;23-234;LAL;@;POR;L (-8);1;51:00:00;6;15;.400;0;2;.000;11;14;.786;0;7;7;9;3;2;6;4;23;18.9;20
79;79;15/04/2002;23-235;LAL;;SEA;W (+7);1;31:00:00;7;16;.438;1;3;.333;4;4;1.000;1;4;5;4;2;0;3;4;19;12.7;13
80;80;17/04/2002;23-237;LAL;;SAC;W (+14);1;29:00:00;9;17;.529;0;4;.000;3;3;1.000;0;4;4;5;1;0;2;1;21;16.0;-4
1;1;29/10/2002;24-067;LAL;;SAS;L (-5);1;43:00:00;9;29;.310;1;2;.500;8;12;.667;5;5;10;5;4;2;6;3;27;15.4;-11
